ID,NAME,PositionMain,Position2,Position3,Position4,Position5,side,Position,height,dominanthand,offense,defense,power,stamina,speed,acceleration,reflexes,quickness,dribblingaccuracy,dribblingspeed,passaccuracy,passspeed,3paccuracy,3pspeed,shootccuracy,shootdistance,shoottechnique,freethrow,curve,dunk,jump,technique,mentality,aggressive,alignment,condition,oppositeaccuracy,oppositefrequency,specialabilitiy1,specialabilitiy2,specialabilitiy3,specialabilitiy4,specialabilitiy5,specialabilitiy6,specialabilitiy7,specialabilitiy8,specialabilitiy9,specialabilitiy10,specialabilitiy11,specialabilitiy12,specialabilitiy13,specialabilitiy14,specialabilitiy15,specialabilitiy16,specialabilitiy17,specialabilitiy18,specialabilitiy19,specialabilitiy20,specialabilitiy22
1,クリスティアーノ・ロナウド,WG,CF,ST,OMF,SMF,両,B,184,右,95,65,84,77,88,90,85,83,94,95,84,84,87,91,86,95,83,91,85,90,89,91,74,92,72,5,7,5,☆,〇,,,,〇,〇,〇,,,〇,,,,☆,〇,,,,,〇
2,ルーニー,CF,ST,WG,OMF,SMF,両,A,178,右,92,71,88,93,81,88,89,84,82,86,86,90,84,85,87,89,85,78,81,77,70,84,90,82,79,7,6,5,〇,,☆,〇,,〇,〇,〇,〇,☆,☆,,,〇,〇,〇,☆,,,,
3,カカ,ST,OMF,SMF,,,両,B,186,右,91,70,83,82,90,93,85,83,85,92,88,89,82,82,85,84,82,77,83,76,82,88,75,85,79,4,6,5,☆,☆,,〇,☆,〇,,〇,〇,☆,〇,,,〇,〇,〇,,,,,
4,ロナウジーニョ,ST,OMF,,,,,B,182,右,89,65,76,72,77,82,70,83,93,84,93,90,92,88,85,80,87,92,91,76,81,95,80,82,72,4,6,5,☆,〇,,,,〇,〇,〇,,,〇,,〇,〇,☆,,,,,,
5,ジェラード,CMF,OMF,SMF,,,両,B,183,右,86,72,84,78,81,75,85,73,77,81,86,94,89,94,86,93,85,85,77,83,76,78,91,80,88,4,6,6,,,☆,〇,〇,〇,,☆,,〇,☆,,,〇,〇,〇,,,,,
6,エトー,ST,CF,WG,,,両,B,180,右,90,70,75,93,94,91,96,87,79,88,75,85,73,73,89,86,90,78,74,71,80,81,80,86,79,7,6,5,〇,,☆,〇,,,〇,〇,,☆,〇,,,〇,〇,,☆,,,,
7,トッティ,ST,OMF,,,,,C,180,右,91,65,78,72,71,74,81,74,90,73,90,84,90,83,91,86,89,91,85,82,75,91,87,82,82,6,6,6,,〇,,〇,☆,☆,,〇,〇,〇,〇,,☆,〇,〇,〇,,,,,
8,ドログバ,CF,,,,,,B,189,右,91,68,97,80,83,79,83,76,75,77,72,79,69,71,86,87,94,88,78,86,92,84,85,89,83,4,6,6,,,,〇,,,〇,〇,〇,〇,〇,,〇,〇,〇,,,,,,
9,ダニエウ・アウベス,SB,SMF,WB,,,両,B,171,右,82,72,72,95,86,88,85,88,78,89,81,78,91,93,75,88,72,85,84,65,85,77,78,86,79,8,6,4,〇,,,〇,〇,☆,,,,〇,〇,☆,,〇,〇,〇,,,,,
10,ビジャ,CF,ST,,,,,B,175,右,94,69,74,80,77,83,92,87,82,79,79,79,75,79,91,80,90,87,84,73,81,82,80,90,84,5,8,6,,〇,☆,〇,,,〇,〇,,☆,〇,,〇,〇,〇,,,,,,
